State Code,State Name,District Code,District Name,Sub District Code,Sub District Name,Village Code,Village Name,Net area (in Hectares)  Sown ,Total irrigated land area (in Hectares),Land area  (in Hectares) irrigated by canals,"Land area  (in Hectares) irrigated by other sources (e.g., wells, tube wells, tanks, lakes, waterfall, etc.)"
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306145,Singalila Forest,0,0,0,0
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306146,Rimbick,1261,360,360,0
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306147,Namla,219.75,219.75,111,108.75
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306148,Lodhama,538.05,240.27,240.27,0
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306149,Hatta,450.05,200,200,0
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306150,Dangia,456,300,300,0
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306151,Singbhumdera,535,250,250,0
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306152,Majua,197,100,100,0
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306153,Kankibong,890,701,701,0
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306154,Jhepi,445,245,126,119
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306155,Lamagaon,616,301,51,250
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306156,Relling,825,700,700,0
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306157,Kaijalia,377,210,210,0
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306158,Samalbong,733,495,495,0
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306159,Kolbong,269,150,150,0
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306160,Murmidong,405,300,300,0
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306161,Karmi,760,400,400,0
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306162,Goke,1685,890,890,0
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306163,Bijanbari,474,350,350,0
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306164,Liza Hill Tea Garden,165,0,0,0
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306165,Barnesbeg Tea Garden,267.51,152.99,152.99,0
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306166,Singla Tea Garden,228.67,182,182,0
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306167,Rangli Forest,0,0,0,0
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306168,Banockburn Tea Garden,375,0,0,0
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306169,Phubsering Tea Garden,389,0,0,0
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306170,Rungneet Tea Garden,111,0,0,0
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306171,Pattabong Tea Garden,0,0,0,0
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306172,Patliabas Forest,166,0,0,0
