State Code,State Name,District Code,District Name,Sub District Code,Sub District Name,Village Code,Village Name,Total Population of Village,Number of Govt. primary Schools ,Number of Govt.  Secondary Schools,Total SC/ST population of village
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306145,Singalila Forest,1632,3,1,1046
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306146,Rimbick,6980,11,1,2392
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306147,Namla,2989,5,0,1699
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306148,Lodhama,703,2,1,236
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306149,Hatta,3436,6,0,1475
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306150,Dangia,1768,3,0,946
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306151,Singbhumdera,2192,3,0,811
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306152,Majua,1164,1,0,591
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306153,Kankibong,3765,8,0,1618
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306154,Jhepi,1576,3,0,649
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306155,Lamagaon,2630,3,0,1593
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306156,Relling,3568,4,1,541
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306157,Kaijalia,4150,6,0,1180
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306158,Samalbong,2077,8,0,924
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306159,Kolbong,885,2,0,368
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306160,Murmidong,2181,5,0,857
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306161,Karmi,1012,4,0,297
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306162,Goke,9100,17,1,2771
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306163,Bijanbari,5338,4,1,1974
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306164,Liza Hill Tea Garden,1439,3,0,363
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306165,Barnesbeg Tea Garden,1381,2,1,546
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306166,Singla Tea Garden,3400,4,0,1240
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306167,Rangli Forest,65,1,0,13
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306168,Banockburn Tea Garden,1725,3,0,597
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306169,Phubsering Tea Garden,3208,5,0,420
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306170,Rungneet Tea Garden,1252,1,0,618
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306171,Pattabong Tea Garden,2347,2,0,625
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306172,Patliabas Forest,158,1,0,72
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306173,Tukvar Tea Garden,4791,5,1,1171
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306174,Lebong Tea Garden,2276,3,0,1006
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306175,Soom Tea Garden,3578,5,0,838
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306176,Sum Forest,49,0,0,38
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306177,Happy Valley Tea Garden,1310,1,0,420
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306178,Arya Tea Garden,1236,1,0,320
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306179,Rishihat Tea Garden,1651,2,1,597
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306180,Rishihat Khasmahal,824,1,0,387
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306181,Barbatia Khasmahal,769,1,0,232
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306182,Bloomfield Tea Garden,2901,2,1,670
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306183,Darjiling (P),2270,3,1,534
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306184,Alubari Tea Garden,116,1,0,59
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306185,Lebong & Mineral Spring Tea Garden,6236,11,0,1218
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306186,Pandam Tea Garden,3959,5,0,749
19,West Bengal,327,Darjiling ,2154,Darjeeling Pulbazar,306187,Alubari Basty,1063,2,0,450
19,West Bengal,327,Darjiling ,2155,Rangli Rangliot,306192,Kambal Tea Garden,3896,3,0,1223
19,West Bengal,327,Darjiling ,2155,Rangli Rangliot,306193,Teesta Valley Forest,179,4,0,65
19,West Bengal,327,Darjiling ,2155,Rangli Rangliot,306194,Lapchu Tea Garden,1809,3,0,480
19,West Bengal,327,Darjiling ,2155,Rangli Rangliot,306195,Peshok Tea Garden,4200,5,0,1656
19,West Bengal,327,Darjiling ,2155,Rangli Rangliot,306196,Bara Mungwa,1506,2,0,600
19,West Bengal,327,Darjiling ,2155,Rangli Rangliot,306197,Chhota Mungwa,807,1,0,410
19,West Bengal,327,Darjiling ,2155,Rangli Rangliot,306198,Takling Khasmahal,1153,3,1,935
19,West Bengal,327,Darjiling ,2155,Rangli Rangliot,306199,Soriang Khasmahal,1538,2,0,1286
